beta,rho,volvol,v_atm_n,alpha,F,K,log_moneyness,T,Shift,volatility,dV_dbeta,dV_drho,dV_dvolvol,dV_dvatm,dV_dF,dV_dK
0.25,-0.25,0.15,0.005,0.015877682583260354,0.01,0.0075,-0.2876820724517809,1.0,0.0,0.004874134354019274,-0.0006803609130160055,-0.00017457246239085944,0.00035226344887901736,0.9587198478733276,-0.02255362385579012,0.055426258678530335
0.25,-0.25,0.15,0.005,0.015877682583260354,0.01,0.008571428571428572,-0.15415067982725822,1.0,0.0,0.0049309034049596825,-0.0003769769370845473,-0.00010135979816020068,0.00018920146178916749,0.976431994379854,-0.027471938179337522,0.05076326607361297
0.25,-0.25,0.15,0.005,0.015877682583260354,0.01,0.009642857142857142,-0.03636764417087495,1.0,0.0,0.004983312176245493,-9.159855643196821e-05,-2.5677809705246626e-05,4.414470525233609e-05,0.9924932886883719,-0.03210431881296353,0.04722421407942225
0.25,-0.25,0.15,0.005,0.015877682583260354,0.01,0.010714285714285714,0.06899287148695142,1.0,0.0,0.005032388665142326,0.00017839044868261288,5.19255064300198e-05,-8.179911695902078e-05,1.0071304163962596,-0.03649083110354189,0.044501889414909325
0.25,-0.25,0.15,0.005,0.015877682583260354,0.01,0.011785714285714285,0.16430305129127615,1.0,0.0,0.0050788910451356716,0.0004349490143107871,0.00013101123528219086,-0.00018798340618487249,1.0205140980592653,-0.04065970403272501,0.042391070638474276
0.25,-0.25,0.15,0.005,0.015877682583260354,0.01,0.012857142857142857,0.251314428280906,1.0,0.0,0.005123393558690212,0.000679593774493151,0.000211213339355809,-0.0002740839361023463,1.032777593833772,-0.0446314159677788,0.040748826886483965
0.25,-0.25,0.15,0.005,0.015877682583260354,0.01,0.013928571428571429,0.33135713595444244,1.0,0.0,0.005166340304212731,0.0009135308503701824,0.0002922170825664533,-0.00034001536829108414,1.0440277014501618,-0.04842109256984363,0.03947227150838103
0.25,-0.25,0.15,0.005,0.015877682583260354,0.01,0.015,0.4054651081081644,1.0,0.0,0.005208080079275292,0.001137743935970905,0.00037374677311833877,-0.0003858789524888466,1.0543547793583241,-0.052040673940604715,0.038484894117888475
0.25,-0.25,0.15,0.005,0.008708448274576631,0.108,0.081,-0.2876820724517809,1.0,0.0,0.005695088229028725,-0.0006345735118011404,-0.0014464803816719195,0.007254251139450874,0.9219218511053523,0.03514965779178735,-0.03346478619804632
0.25,-0.25,0.15,0.005,0.008708448274576631,0.108,0.09257142857142857,-0.15415067982725836,1.0,0.0,0.005332948104250069,-0.0003623926441096753,-0.0009727457984200584,0.003571439366030391,0.9597213425070846,0.029269601937518097,-0.028375253367660766
0.25,-0.25,0.15,0.005,0.008708448274576631,0.108,0.10414285714285715,-0.03636764417087483,1.0,0.0,0.0050596331579492925,-9.000263208441157e-05,-0.0002799112369876419,0.0006124296516960818,0.9936058647786628,0.018047383012605434,-0.017835830105791674
0.25,-0.25,0.15,0.005,0.008708448274576631,0.108,0.11571428571428571,0.06899287148695142,1.0,0.0,0.0049416143449136085,0.0001740149461181211,0.0006007689606285154,-0.0003850093594627881,0.999860442537191,0.001555636816335269,-0.0019501237816844966
