beta,rho,volvol,v_atm_n,alpha,F,K,log_moneyness,T,Shift,dV_dF,dV_dK,dV_dBeta,dV_dRho,dV_dVolvol,dV_dVatm,volatility,d2V_dF2,d2V_dK2
0.25,-0.25,0.15,0.005,0.006722535455506329,0.30400000000000005,0.3148571428571429,0.03509131981126998,1.0,0.0,0.0004854572632955715,-0.0005554993123429955,8.692522049380536e-05,0.0008475569768587321,-0.0001840244666720392,0.9864059019246141,0.0049044795983511375,2.223609306696768,1.530147056093458
0.25,-0.25,0.15,0.005,0.006722535455506329,0.30400000000000005,0.33657142857142863,0.10178269430994238,1.0,0.0,-0.02531178140235628,0.025131461783669415,0.0002292599669134754,0.0021866753035018616,0.0051077691251913415,0.8881531307278201,0.005204367787312649,1.3666653700540963,0.7443761509724246
0.25,-0.25,0.15,0.005,0.006722535455506329,0.30400000000000005,0.3582857142857143,0.16430305129127634,1.0,0.0,-0.034858982496858724,0.03460044278160758,0.00034430498122711706,0.0028810109515067794,0.012037286084565224,0.8147325234603153,0.005873286336195215,0.789387779807919,0.21910286044939253
0.25,-0.25,0.15,0.005,0.006722535455506329,0.30400000000000005,0.38000000000000006,0.22314355131420976,1.0,0.0,-0.037516634881069544,0.03719173462668551,0.0004589615337086128,0.0033075221840886404,0.018244920446837398,0.7862870821453982,0.006659168139627611,0.6020832199369597,0.0516272447230632
0.25,-0.25,0.15,0.005,0.006268880469980681,0.402,0.3015,-0.28768207245178107,1.0,0.0,0.04059267886497959,-0.04010581611952931,-0.000618530136831108,-0.002716167225164101,0.0282668267421321,0.9226434581621756,0.008839570093624585,0.1098344756701238,-0.059196688998127724
0.25,-0.25,0.15,0.005,0.006268880469980681,0.402,0.33021428571428574,-0.19671029424605427,1.0,0.0,0.041892842090143996,-0.04158613589351045,-0.0004301020520638965,-0.0023939879861475943,0.020791518636972817,0.9113457110493384,0.007665312171408651,0.12663919338528984,-0.037918722434165594
0.25,-0.25,0.15,0.005,0.006268880469980681,0.402,0.35892857142857143,-0.11332868530700324,1.0,0.0,0.04159474185714381,-0.04142493214747333,-0.0002564758145445767,-0.0019090586533473952,0.01239041565615634,0.9226376494406163,0.006465662872743987,0.24684847561670906,0.08185521214032326
0.25,-0.25,0.15,0.005,0.006268880469980681,0.402,0.3876428571428572,-0.03636764417087483,1.0,0.0,0.03225242367305686,-0.032196351037913525,-8.838675971678533e-05,-0.000921638152948101,0.0032418073173806627,0.9762802143098437,0.005366069277337173,0.8934839229515823,0.7195200616254308
0.25,-0.25,0.15,0.005,0.006268880469980681,0.402,0.41635714285714287,0.03509131981126998,1.0,0.0,-0.004325687492091192,0.00427359230682876,8.573485931612224e-05,0.0011130621493937731,0.00026871075156642554,0.9729677412709248,0.004904997594351428,1.6477747608743827,1.4748523877362407
0.25,-0.25,0.15,0.005,0.006268880469980681,0.402,0.4450714285714286,0.10178269430994238,1.0,0.0,-0.03097889445357952,0.030850225619137202,0.00021762200375086138,0.002571549342390844,0.008541442968711122,0.8418360439299555,0.005486134905449083,0.5725733905633702,0.4240465635370343
0.25,-0.25,0.15,0.005,0.006268880469980681,0.402,0.47378571428571437,0.16430305129127634,1.0,0.0,-0.03689013665351386,0.0367043690303874,0.0003326136666439994,0.0032229269791156367,0.01712440370494478,0.7838347032204651,0.006479323657026981,0.21001335020016978,0.07170411908229632
0.25,-0.25,0.15,0.005,0.006268880469980681,0.402,0.5025000000000001,0.22314355131420976,1.0,0.0,-0.03764692267676923,0.03740912820843515,0.0004564762309464121,0.0036572202011600496,0.024507782607138817,0.7768837137836493,0.007548436981682827,0.1326611969868281,-0.004561694564188409
0.25,-0.25,0.15,0.005,0.005936098353470615,0.5,0.375,-0.2876820724517809,1.0,0.0,0.03970181225443348,-0.039292785858346946,-0.0006314649497740632,-0.0029528986859872486,0.03421891604446503,0.9479807688839159,0.009856029202328564,-0.0364777652528403,-0.055239763380793894
0.25,-0.25,0.15,0.005,0.005936098353470615,0.5,0.4107142857142857,-0.19671029424605427,1.0,0.0,0.04148183744070999,-0.04122975568442578,-0.0004335418985618178,-0.0026124832956664346,0.025465391821286043,0.9220780142898954,0.008417672775729742,-0.03385486335716337,-0.05032857138813995
0.25,-0.25,0.15,0.005,0.005936098353470615,0.5,0.4464285714285714,-0.11332868530700324,1.0,0.0,0.042378058957848186,-0.04224165638694322,-0.0002547559810675559,-0.0021215414728811832,0.015592389987668931,0.9178720766084281,0.006920506900593708,0.03156502836887398,0.016450840689685723
0.25,-0.25,0.15,0.005,0.005936098353470615,0.5,0.48214285714285715,-0.03636764417087483,1.0,0.0,0.0348196210718521,-0.03477480403455372,-8.771802034734932e-05,-0.0010946039769033078,0.004302555312030165,0.9690146001578581,0.005488322468365991,0.5995447194262482,0.5841794050479872
0.25,-0.25,0.15,0.005,0.005936098353470615,0.5,0.5178571428571428,0.03509131981126998,1.0,0.0,-0.009047120547514553,0.009006168397258884,8.43031764188873e-05,0.0013628017698705253,0.0009364566518066386,0.9567449785544135,0.004923721309631076,1.3851905733552883,1.3703891370862848
0.25,-0.25,0.15,0.005,0.005936098353470615,0.5,0.5535714285714286,0.10178269430994238,1.0,0.0,-0.03412747600836652,0.03402859024733982,0.00020940903438376735,0.0028518163932775287,0.011862539988499732,0.8087895617125973,0.00581740341248321,0.24287169497760885,0.23090391894739268
0.25,-0.25,0.15,0.005,0.005936098353470615,0.5,0.5892857142857143,0.16430305129127634,1.0,0.0,-0.03736821468057483,0.03722277768232432,0.0003288755847513647,0.003489539216611215,0.02174386445636528,0.7721527993387323,0.007111506459107002,0.024927976349786718,0.013410403284729608
0.25,-0.25,0.15,0.005,0.005936098353470615,0.5,0.625,0.22314355131420976,1.0,0.0,-0.03710346563670641,0.03691399368399573,0.0004631452027448191,0.003954216626009255,0.03023041000166371,0.7838654017544577,0.008438849891285618,-0.009298117831235686,-0.020925483568134954
0.25,-0.25,0.15,0.008,0.025624237089884403,0.01,0.0075,-0.2876820724517809,1.0,0.0,-0.07246898784188383,0.11146565346079051,-0.0011051240365531068,-0.00016331202015718027,0.0003073497957875593,0.9547359336491492,0.007749169722270001,105.88752097362429,-10.321604682062
0.25,-0.25,0.15,0.008,0.025624237089884403,0.01,0.008214285714285714,-0.19671029424605427,1.0,0.0,-0.0782013067149312,0.1044605032682333,-0.0007733545557414567,-0.000118176014113347,0.00021487345756854292,0.9687729065135929,0.007826217981876748,107.86510573623785,-8.621575675604731
0.25,-0.25,0.15,0.008,0.025624237089884403,0.01,0.008928571428571428,-0.11332868530700324,1.0,0.0,-0.08355271977761314,0.09847757817538216,-0.00045512489263432876,-7.171187949017721e-05,0.00012590702612447213,0.981865756451497,0.007898641856483824,110.53657988924213,-6.331740687315345
0.25,-0.25,0.15,0.008,0.025624237089884403,0.01,0.009642857142857144,-0.03636764417087472,1.0,0.0,-0.0885787441659569,0.09331106234911068,-0.0001489521995329257,-2.4142274984706447e-05,4.09065854106716e-05,0.9941397644333548,0.007967094250942807,111.90701143526381,-2.2030988144905446
0.25,-0.25,0.15,0.008,0.025624237089884403,0.01,0.010357142857142856,0.03509131981126998,1.0,0.0,-0.09332269054751485,0.08880761377719874,0.00014637576567499977,2.435496596064901e-05,-3.979929233399737e-05,1.0056945356790719,0.008032100988561422,115.0642081615416,-7.277175295179758
0.25,-0.25,0.15,0.008,0.025624237089884403,0.01,0.011071428571428572,0.10178269430994238,1.0,0.0,-0.09781910420558759,0.08485064082804307,0.00043186773948655777,7.363693509121472e-05,-0.00011597176691191535,1.0166109299866721,0.008094092226457305,115.41115285673696,-5.27875812202757
0.25,-0.25,0.15,0.008,0.025624237089884403,0.01,0.011785714285714287,0.16430305129127634,1.0,0.0,-0.1020959249434239,0.08134960079301963,0.0007083738977342602,0.0001235846928265838,-0.0001874402369428374,1.0269553718696145,0.008153424636084235,117.70098784502635,-4.083816235897355
0.25,-0.25,0.15,0.008,0.025624237089884403,0.01,0.0125,0.22314355131420976,1.0,0.0,-0.10617610454038973,0.07823315315014234,0.0009766197260618892,0.00017409849256688759,-0.0002540840558784563,1.0367833161006172,0.008210397432156106,119.12346109532733,-3.6304292905242623
0.25,-0.25,0.15,0.008,0.01393527692294182,0.108,0.081,-0.2876820724517809,1.0,0.0,0.027490865840181834,-0.02478615469591475,-0.001041170392956925,-0.0016601448098174654,0.006430523625741702,0.9409875398411898,0.008493290102422968,-334.0322786223349,0.31437070765682423
0.25,-0.25,0.15,0.008,0.01393527692294182,0.108,0.08871428571428572,-0.19671029424605413,1.0,0.0,0.02364715284440287,-0.021818041158975118,-0.0007377323179430517,-0.0012685640246590246,0.0041419913245771545,0.9612941683986852,0.00831281478983858,-341.1148404684398,0.4578040517491335
0.25,-0.25,0.15,0.008,0.01393527692294182,0.108,0.09642857142857143,-0.11332868530700312,1.0,0.0,0.018750756188218518,-0.017710286850730412,-0.0004383573174587818,-0.0008088468315264885,0.00213320965058994,0.9797605051483498,0.008159606760907835,-347.53438814651446,0.6068800392872981
0.25,-0.25,0.15,0.008,0.01393527692294182,0.108,0.10414285714285715,-0.03636764417087483,1.0,0.0,0.012800664576029037,-0.012482900929771789,-0.0001442214472846537,-0.000283566049114059,0.0005660103930688054,0.9944645374109633,0.008042463232251575,-352.6219585054149,0.7456646389819187
0.25,-0.25,0.15,0.008,0.01393527692294182,0.108,0.11185714285714286,0.03509131981127019,1.0,0.0,0.005969813522765316,-0.00631716052038488,0.00014163765646446613,0.0002940713159094166,-0.00039694064354889314,1.0033757188825099,0.00796944283071726,-355.69401338536835,0.8454544838821474
0.25,-0.25,0.15,0.008,0.01393527692294182,0.108,0.11957142857142858,0.10178269430994238,1.0,0.0,-0.0013719523202689508,0.0004180374663682248,0.0004147759115336047,0.000899600708162418,-0.0006382008740923872,1.0050420838451923,0.007946473753709523,-356.24771498868296,0.8896063539312125
0.25,-0.25,0.15,0.008,0.01393527692294182,0.108,0.12728571428571428,0.16430305129127634,1.0,0.0,-0.008724511275463403,0.007227771119639558,0.0006707499989461185,0.0015019303786778515,-0.00012961166168112825,0.9992550873121757,0.007976082538236241,-354.221640064709,0.8662025330143511
0.25,-0.25,0.15,0.008,0.01393527692294182,0.108,0.135,0.22314355131420976,1.0,0.0,-0.015598102365416968,0.013626262464051643,0.0009068070339762757,0.002071835500036534,0.0010556561041985546,0.987215138846878,0.008056916847397368,-350.0311763593659,0.7858368733972301
0.25,-0.25,0.15,0.008,0.011855974565159367,0.20600000000000002,0.15450000000000003,-0.2876820724517808,1.0,0.0,0.03729859961879804,-0.03589039134209352,-0.001004489755263016,-0.0025770989769274832,0.014296262585214436,0.9141196848951038,0.009451690837284834,-7.009368578065584,0.10639332092584053
0.25,-0.25,0.15,0.008,0.011855974565159367,0.20600000000000002,0.16921428571428573,-0.19671029424605413,1.0,0.0,0.0343314908594622,-0.033380068742160804,-0.0007184902707513263,-0.0020901256003735824,0.009520563327286569,0.9394200332999563,0.008939553147260892,-7.072321593265044,0.24590947184908138
0.25,-0.25,0.15,0.008,0.011855974565159367,0.20600000000000002,0.18392857142857144,-0.11332868530700324,1.0,0.0,0.028856903786684082,-0.028308682256483857,-0.00043247075365293597,-0.0014238728633653164,0.004933856847383344,0.9679817537799894,0.008481891521146917,-7.0865064609755715,0.4563750221877941
0.25,-0.25,0.15,0.008,0.011855974565159367,0.20600000000000002,0.19864285714285718,-0.03636764417087472,1.0,0.0,0.01984648719132801,-0.019670678590074358,-0.00014388364805162368,-0.0005300440242966831,0.001211469136813692,0.9928600760555211,0.008124103941481652,-7.018034837300834,0.7197133490771929
0.25,-0.25,0.15,0.008,0.011855974565159367,0.20600000000000002,0.21335714285714286,0.03509131981126998,1.0,0.0,0.0072602266953909166,-0.007431308208705918,0.0001412404082579144,0.0005676147139116461,-0.0005990784830017803,1.0013418059139079,0.007921097098154174,-6.8879591916094824,0.9168016843740356
0.25,-0.25,0.15,0.008,0.011855974565159367,0.20600000000000002,0.2280714285714286,0.10178269430994238,1.0,0.0,-0.006695672460045504,0.00621770670062167,0.0004059010367402083,0.0017139267401156122,0.0002619931823572008,0.9841880030132115,0.00791254774092049,-6.777464386360041,0.8968997245611526
0.25,-0.25,0.15,0.008,0.011855974565159367,0.20600000000000002,0.2427857142857143,0.16430305129127634,1.0,0.0,-0.018752574752607946,0.018023253470883543,0.0006364352170273868,0.0027139144282567473,0.003432038677558813,0.9477068238245705,0.008094679238217087,-6.704046454348203,0.6899763979937804
0.25,-0.25,0.15,0.008,0.011855974565159367,0.20600000000000002,0.2575,0.22314355131420976,1.0,0.0,-0.027327390569552284,0.026399947553019366,0.000835594853726418,0.0034881892721494445,0.00781771302728329,0.9071215976725471,0.00842578061622869,-6.625682213999265,0.454569824037659
0.25,-0.25,0.15,0.008,0.010756388103208144,0.30400000000000005,0.22800000000000004,-0.2876820724517809,1.0,0.0,0.04040881242099506,-0.03945077711298978,-0.0009835642248573473,-0.0031693650655306715,0.02199514104704592,0.9007814531173524,0.010495597386000434,3.0975596001308503,0.013047800844623949
0.25,-0.25,0.15,0.008,0.010756388103208144,0.30400000000000005,0.24971428571428575,-0.19671029424605427,1.0,0.0,0.0389085275956654,-0.03826933972369565,-0.0007030234606270058,-0.002671270656062763,0.015190830380054643,0.9220596909696037,0.009648102095805546,3.2612974039845737,0.10763219792844618
0.25,-0.25,0.15,0.008,0.010756388103208144,0.30400000000000005,0.27142857142857146,-0.11332868530700324,1.0,0.0,0.034383812928395686,-0.03401552700146713,-0.0004260059683486306,-0.0019250614522597909,0.008157002630640453,0.9544702719160857,0.008855465672371358,3.5708093434255965,0.308171463109595
0.25,-0.25,0.15,0.008,0.010756388103208144,0.30400000000000005,0.2931428571428572,-0.03636764417087483,1.0,0.0,0.02383519082260535,-0.023715104188001806,-0.0001434610069628306,-0.0007643524233685861,0.001965080691918031,0.9901107889294379,0.008214641739024697,4.046330355121844,0.6622141039577266
0.25,-0.25,0.15,0.008,0.010756388103208144,0.30400000000000005,0.3148571428571429,0.03509131981126998,1.0,0.0,0.005530273704485546,-0.005644235968716185,0.0001406769856854284,0.0008441198018349638,-0.000642393860328383,0.9975565894160264,0.0078842657412705,4.356818376851116,0.9479513342224841
0.25,-0.25,0.15,0.008,0.010756388103208144,0.30400000000000005,0.33657142857142863,0.10178269430994238,1.0,0.0,-0.014171657057609666,0.013860153070617954,0.00039312026724191984,0.0024487262252625985,0.002385527579293334,0.9530031163090118,0.007980528930309006,4.029999747606914,0.7757229793589487
0.25,-0.25,0.15,0.008,0.010756388103208144,0.30400000000000005,0.3582857142857143,0.16430305129127634,1.0,0.0,-0.02726691692586475,0.026807592541843644,0.0005989209683754382,0.0036007358344969376,0.008799065868286826,0.8900695571203987,0.00843599075986692,3.463684312290299,0.42630023349286317
0.25,-0.25,0.15,0.008,0.010756388103208144,0.30400000000000005,0.38000000000000006,0.22314355131420976,1.0,0.0,-0.03392304166464399,0.033349931478690725,0.0007795268007482203,0.004353030850709483,0.015786532813616416,0.8422218194126946,0.009097975070266811,3.073645584068757,0.20038218545216852
0.25,-0.25,0.15,0.008,0.010030428174135715,0.402,0.3015,-0.28768207245178107,1.0,0.0,0.04124614205235499,-0.0405114913020306,-0.0009761002388308793,-0.003597422200407596,0.029202587212978637,0.8991414787197504,0.011559960755825936,-0.6377956612994601,-0.021812319640509344
0.25,-0.25,0.15,0.008,0.010030428174135715,0.402,0.33021428571428574,-0.19671029424605427,1.0,0.0,0.04093375017917145,-0.040451891588556076,-0.0006932776019930031,-0.0031010435417450077,0.020715969811097024,0.9120038209874114,0.010393693945671547,-0.592206625121683,0.03539717114160623
0.25,-0.25,0.15,0.008,0.010030428174135715,0.402,0.35892857142857143,-0.11332868530700324,1.0,0.0,0.03778128711194298,-0.03750591823433255,-0.00042009638129281157,-0.0023311856854613122,0.01154435661648856,0.9421627024559786,0.009263500937442585,-0.4525626949034812,0.1973869970003288
0.25,-0.25,0.15,0.008,0.010030428174135715,0.402,0.3876428571428572,-0.03636764417087483,1.0,0.0,0.026837274710956698,-0.026747009198454363,-0.00014294506897605253,-0.0009857557877607226,0.0028106809813605027,0.9866243406032176,0.008313299574333393,-0.08177472983336621,0.5990670906337299
0.25,-0.25,0.15,0.008,0.010030428174135715,0.402,0.41635714285714287,0.03509131981126998,1.0,0.0,0.002964409337474633,-0.0030502223208426606,0.0001399075352098711,0.0011205271849279441,-0.0005241765320407321,0.9921953501856872,0.007859214325949241,0.27416754721370523,0.9593485287404715
0.25,-0.25,0.15,0.008,0.010030428174135715,0.402,0.4450714285714286,0.10178269430994238,1.0,0.0,-0.020798234541451636,0.02057182289448237,0.0003787702426011341,0.0030647010380857598,0.0053175648745407145,0.9176888708575108,0.008136535748340517,-0.029133186763948007,0.6063738001823826
0.25,-0.25,0.15,0.008,0.010030428174135715,0.402,0.47378571428571437,0.16430305129127634,1.0,0.0,-0.032385577299293394,0.03205900365959253,0.0005689977100598043,0.004216831639078378,0.01451498297770637,0.84344013414131,0.008917657228866008,-0.3485677378772733,0.23632181511414793
0.25,-0.25,0.15,0.008,0.010030428174135715,0.402,0.5025000000000001,0.22314355131420976,1.0,0.0,-0.0366536744726594,0.03624637550440604,0.0007476188262217631,0.004919622849722249,0.023269743652798436,0.8037249533444923,0.00990889160270401,-0.4772840394566766,0.08022811614547025
0.25,-0.25,0.15,0.008,0.009497917849019611,0.5,0.375,-0.2876820724517809,1.0,0.0,0.04121041735291597,-0.0406070469795757,-0.0009776276177486665,-0.003937259749134392,0.035964650375863716,0.9052926054197579,0.012619937727026433,-0.06587785872369523,-0.03381245900552837
0.25,-0.25,0.15,0.008,0.009497917849019611,0.5,0.4107142857142857,-0.19671029424605427,1.0,0.0,0.04173635992366087,-0.04134734441001817,-0.0006885299986408855,-0.0034379131295253496,0.025991674812431143,0.9083492150726429,0.011153053206118367,-0.03514549762329011,-0.0008946844525476453
0.25,-0.25,0.15,0.008,0.009497917849019611,0.5,0.4464285714285714,-0.11332868530700324,1.0,0.0,0.03989546898744423,-0.03967571207852406,-0.0004152666838869168,-0.0026637479947494436,0.014950693230306178,0.9322885402042457,0.009693669269996756,0.0840855163275478,0.12061338594548945
0.25,-0.25,0.15,0.008,0.009497917849019611,0.5,0.48214285714285715,-0.03636764417087483,1.0,0.0,0.029302376802764485,-0.02922995896509145,-0.00014235753374725046,-0.0011939466984522973,0.0037325623390704887,0.9826514242063099,0.008419281009887161,0.4974701206528209,0.5362931558981981
0.25,-0.25,0.15,0.008,0.009497917849019611,0.5,0.5178571428571428,0.03509131981126998,1.0,0.0,7.372289931306675e-05,-0.00014198612783595648,0.00013893338215997808,0.0013936923681096003,-0.000246608643228452,0.9853672430955306,0.00784605003298892,0.9155662339388471,0.9547912731286342
0.25,-0.25,0.15,0.008,0.009497917849019611,0.5,0.5535714285714286,0.10178269430994238,1.0,0.0,-0.025934946513289647,0.02576030169060452,0.00036499323875782697,0.0035610641466871096,0.008645960817080245,0.883632384710703,0.008361652639522568,0.40795145039851377,0.44438935130874907
0.25,-0.25,0.15,0.008,0.009497917849019611,0.5,0.5892857142857143,0.16430305129127634,1.0,0.0,-0.03514178712263338,0.034891538669676064,0.0005485698006957307,0.004664756872441167,0.020000430676209158,0.8110012373035297,0.00947818588762221,0.09141298829007383,0.1250771754304563
