rho,volvol,v_atm_n,alpha,F,K,log_moneyness,beta,T,Shift,y_scaled
-1.0,-1.0,-0.5999999999999999,-0.8538608853946362,0.20000000000000018,-0.07484094852515888,-0.016046115979360648,0.25,1.0,0.0,0.15192643945867723
-1.0,-1.0,-0.5999999999999999,-0.8538608853946362,0.20000000000000018,-0.004511278195488577,0.263732190579827,0.25,1.0,0.0,0.13705776764589495
-1.0,-1.0,-0.5999999999999999,-0.8538608853946362,0.20000000000000018,0.06581839213418172,0.5248442859637645,0.25,1.0,0.0,0.1413901216159018
-1.0,-1.0,-0.5999999999999999,-0.8538608853946362,0.20000000000000018,0.13614806246385203,0.7696258868568887,0.25,1.0,0.0,0.1618883191634867
-1.0,-1.0,-0.5999999999999999,-0.8538608853946362,0.20000000000000018,0.20647773279352233,1.0,0.25,1.0,0.0,0.19168112349387306
-1.0,-1.0,-0.5999999999999999,-0.8757760617246924,0.6000000000000001,-0.04777327935222675,-1.0,0.25,1.0,0.0,0.3024835347319374
-1.0,-1.0,-0.5999999999999999,-0.8757760617246924,0.6000000000000001,0.045228455754771524,-0.643824530433497,0.25,1.0,0.0,0.24999534380946065
-1.0,-1.0,-0.5999999999999999,-0.8757760617246924,0.6000000000000001,0.1382301908617698,-0.31736632215360794,0.25,1.0,0.0,0.19913066526534848
-1.0,-1.0,-0.5999999999999999,-0.8757760617246924,0.6000000000000001,0.23123192596876807,-0.016046115979360648,0.25,1.0,0.0,0.15636656520914388
-1.0,-1.0,-0.5999999999999999,-0.8757760617246924,0.6000000000000001,0.32423366107576634,0.263732190579827,0.25,1.0,0.0,0.13593032111409628
-1.0,-1.0,-0.5999999999999999,-0.8757760617246924,0.6000000000000001,0.4172353961827646,0.5248442859637645,0.25,1.0,0.0,0.14841125569838678
-1.0,-1.0,-0.5999999999999999,-0.8757760617246924,0.6000000000000001,0.5102371312897631,0.7696258868568887,0.25,1.0,0.0,0.18356586444356937
-1.0,-1.0,-0.5999999999999999,-0.8757760617246924,0.6000000000000001,0.6032388663967612,1.0,0.25,1.0,0.0,0.22817666757192323
-1.0,-1.0,-0.5999999999999999,-0.8918514085932253,1.0,0.1902834008097165,-0.9999999999999993,0.25,1.0,0.0,0.35018811926901705
-1.0,-1.0,-0.5999999999999999,-0.8918514085932253,1.0,0.30595720069404275,-0.643824530433497,0.25,1.0,0.0,0.2841705372506657
-1.0,-1.0,-0.5999999999999999,-0.8918514085932253,1.0,0.4216310005783688,-0.31736632215360794,0.25,1.0,0.0,0.2184905213217151
-1.0,-1.0,-0.5999999999999999,-0.8918514085932253,1.0,0.5373048004626952,-0.016046115979360648,0.25,1.0,0.0,0.16113629180613753
-1.0,-1.0,-0.5999999999999999,-0.8918514085932253,1.0,0.652978600347021,0.263732190579827,0.25,1.0,0.0,0.13533785812342836
-1.0,-1.0,-0.5999999999999999,-0.8918514085932253,1.0,0.7686524002313477,0.5248442859637645,0.25,1.0,0.0,0.15854270954870575
-1.0,-1.0,-0.5999999999999999,-0.8918514085932253,1.0,0.8843262001156738,0.7696258868568887,0.25,1.0,0.0,0.2087926264521878
-1.0,-1.0,-0.5999999999999999,-0.8918514085932253,1.0,1.0,1.0,0.25,1.0,0.0,0.2672418982236933
-1.0,-1.0,-0.19999999999999996,-0.10030246821756461,-1.0,-1.0,-0.9999999999999993,0.25,1.0,0.0,0.25911929735289013
-1.0,-1.0,-0.19999999999999996,-0.10030246821756461,-1.0,-0.9976865240023135,-0.643824530433497,0.25,1.0,0.0,0.2647315029577742
-1.0,-1.0,-0.19999999999999996,-0.10030246821756461,-1.0,-0.995373048004627,-0.31736632215360794,0.25,1.0,0.0,0.2699802070513346
-1.0,-1.0,-0.19999999999999996,-0.10030246821756461,-1.0,-0.9930595720069404,-0.016046115979360204,0.25,1.0,0.0,0.2749173323266848
-1.0,-1.0,-0.19999999999999996,-0.10030246821756461,-1.0,-0.9907460960092539,0.263732190579827,0.25,1.0,0.0,0.27958423648828534
-1.0,-1.0,-0.19999999999999996,-0.10030246821756461,-1.0,-0.9884326200115674,0.5248442859637645,0.25,1.0,0.0,0.284014441009286
-1.0,-1.0,-0.19999999999999996,-0.10030246821756461,-1.0,-0.9861191440138809,0.7696258868568887,0.25,1.0,0.0,0.28823552378698586
-1.0,-1.0,-0.19999999999999996,-0.10030246821756461,-1.0,-0.9838056680161943,1.0,0.25,1.0,0.0,0.2922704673025482
-1.0,-1.0,-0.19999999999999996,-0.600053989091436,-0.6000000000000001,-0.7619433198380567,-0.9999999999999993,0.25,1.0,0.0,0.2922494146537204
-1.0,-1.0,-0.19999999999999996,-0.600053989091436,-0.6000000000000001,-0.7369577790630422,-0.6438245304334964,0.25,1.0,0.0,0.28662714844810094
-1.0,-1.0,-0.19999999999999996,-0.600053989091436,-0.6000000000000001,-0.7119722382880278,-0.31736632215360744,0.25,1.0,0.0,0.2819698793774865
-1.0,-1.0,-0.19999999999999996,-0.600053989091436,-0.6000000000000001,-0.6869866975130132,-0.016046115979360648,0.25,1.0,0.0,0.2785050556729541
-1.0,-1.0,-0.19999999999999996,-0.600053989091436,-0.6000000000000001,-0.6620011567379989,0.26373219057982783,0.25,1.0,0.0,0.2764272529381572
-1.0,-1.0,-0.19999999999999996,-0.600053989091436,-0.6000000000000001,-0.6370156159629844,0.5248442859637645,0.25,1.0,0.0,0.2758825118728372
-1.0,-1.0,-0.19999999999999996,-0.600053989091436,-0.6000000000000001,-0.6120300751879699,0.7696258868568887,0.25,1.0,0.0,0.27695474678821025
-1.0,-1.0,-0.19999999999999996,-0.600053989091436,-0.6000000000000001,-0.5870445344129555,1.0,0.25,1.0,0.0,0.27965908107498877
-1.0,-1.0,-0.19999999999999996,-0.6864229109565757,-0.19999999999999996,-0.5238866396761133,-0.9999999999999989,0.25,1.0,0.0,0.33202457321013
-1.0,-1.0,-0.19999999999999996,-0.6864229109565757,-0.19999999999999996,-0.47622903412377093,-0.6438245304334964,0.25,1.0,0.0,0.31231517150759003
-1.0,-1.0,-0.19999999999999996,-0.6864229109565757,-0.19999999999999996,-0.4285714285714286,-0.31736632215360794,0.25,1.0,0.0,0.2952035841488655
-1.0,-1.0,-0.19999999999999996,-0.6864229109565757,-0.19999999999999996,-0.38091382301908605,-0.016046115979360204,0.25,1.0,0.0,0.28199567834090866
-1.0,-1.0,-0.19999999999999996,-0.6864229109565757,-0.19999999999999996,-0.33325621746674383,0.263732190579827,0.25,1.0,0.0,0.27402890665312063
-1.0,-1.0,-0.19999999999999996,-0.6864229109565757,-0.19999999999999996,-0.2855986119144014,0.5248442859637645,0.25,1.0,0.0,0.2722729277457424
-1.0,-1.0,-0.19999999999999996,-0.6864229109565757,-0.19999999999999996,-0.23794100636205895,0.7696258868568887,0.25,1.0,0.0,0.27692796311802675
-1.0,-1.0,-0.19999999999999996,-0.6864229109565757,-0.19999999999999996,-0.19028340080971662,1.0,0.25,1.0,0.0,0.28736730432747587
-1.0,-1.0,-0.19999999999999996,-0.7320784117973931,0.20000000000000018,-0.2858299595141699,-0.9999999999999993,0.25,1.0,0.0,0.37686564093594593
-1.0,-1.0,-0.19999999999999996,-0.7320784117973931,0.20000000000000018,-0.2155002891844996,-0.643824530433497,0.25,1.0,0.0,0.34193609896992977
-1.0,-1.0,-0.19999999999999996,-0.7320784117973931,0.20000000000000018,-0.1451706188548293,-0.31736632215360794,0.25,1.0,0.0,0.31048530393938584
-1.0,-1.0,-0.19999999999999996,-0.7320784117973931,0.20000000000000018,-0.07484094852515888,-0.016046115979360648,0.25,1.0,0.0,0.28579021626758344
-1.0,-1.0,-0.19999999999999996,-0.7320784117973931,0.20000000000000018,-0.004511278195488577,0.263732190579827,0.25,1.0,0.0,0.27200175200703597
-1.0,-1.0,-0.19999999999999996,-0.7320784117973931,0.20000000000000018,0.06581839213418172,0.5248442859637645,0.25,1.0,0.0,0.2721226980445536
-1.0,-1.0,-0.19999999999999996,-0.7320784117973931,0.20000000000000018,0.13614806246385203,0.7696258868568887,0.25,1.0,0.0,0.28562815132348224
-1.0,-1.0,-0.19999999999999996,-0.7320784117973931,0.20000000000000018,0.20647773279352233,1.0,0.25,1.0,0.0,0.3091385661263722
-1.0,-1.0,-0.19999999999999996,-0.7622171722708718,0.6000000000000001,-0.04777327935222675,-1.0,0.25,1.0,0.0,0.4239321747074682
-1.0,-1.0,-0.19999999999999996,-0.7622171722708718,0.6000000000000001,0.045228455754771524,-0.643824530433497,0.25,1.0,0.0,0.3739055792881844
-1.0,-1.0,-0.19999999999999996,-0.7622171722708718,0.6000000000000001,0.1382301908617698,-0.31736632215360794,0.25,1.0,0.0,0.32734627299596025
-1.0,-1.0,-0.19999999999999996,-0.7622171722708718,0.6000000000000001,0.23123192596876807,-0.016046115979360648,0.25,1.0,0.0,0.28987234596435796
-1.0,-1.0,-0.19999999999999996,-0.7622171722708718,0.6000000000000001,0.32423366107576634,0.263732190579827,0.25,1.0,0.0,0.27035316204274157
-1.0,-1.0,-0.19999999999999996,-0.7622171722708718,0.6000000000000001,0.4172353961827646,0.5248442859637645,0.25,1.0,0.0,0.27527161685967116
-1.0,-1.0,-0.19999999999999996,-0.7622171722708718,0.6000000000000001,0.5102371312897631,0.7696258868568887,0.25,1.0,0.0,0.3012079180648453
-1.0,-1.0,-0.19999999999999996,-0.7622171722708718,0.6000000000000001,0.6032388663967612,1.0,0.25,1.0,0.0,0.33969602366793283
-1.0,-1.0,-0.19999999999999996,-0.784323551557665,1.0,0.1902834008097165,-0.9999999999999993,0.25,1.0,0.0,0.4717756156280144
-1.0,-1.0,-0.19999999999999996,-0.784323551557665,1.0,0.30595720069404275,-0.643824530433497,0.25,1.0,0.0,0.40718777899586783
-1.0,-1.0,-0.19999999999999996,-0.784323551557665,1.0,0.4216310005783688,-0.31736632215360794,0.25,1.0,0.0,0.34538671965584594
-1.0,-1.0,-0.19999999999999996,-0.784323551557665,1.0,0.5373048004626952,-0.016046115979360648,0.25,1.0,0.0,0.2942233690565532
-1.0,-1.0,-0.19999999999999996,-0.784323551557665,1.0,0.652978600347021,0.263732190579827,0.25,1.0,0.0,0.2690895606212922
-1.0,-1.0,-0.19999999999999996,-0.784323551557665,1.0,0.7686524002313477,0.5248442859637645,0.25,1.0,0.0,0.2813761175567596
-1.0,-1.0,-0.19999999999999996,-0.784323551557665,1.0,0.8843262001156738,0.7696258868568887,0.25,1.0,0.0,0.3216479472659169
-1.0,-1.0,-0.19999999999999996,-0.784323551557665,1.0,1.0,1.0,0.25,1.0,0.0,0.37515106333451004
-1.0,-1.0,0.2000000000000004,0.2226483073808203,-1.0,-1.0,-0.9999999999999993,0.25,1.0,0.0,0.3849388965105404
-1.0,-1.0,0.2000000000000004,0.2226483073808203,-1.0,-0.9976865240023135,-0.643824530433497,0.25,1.0,0.0,0.3934610446565673
-1.0,-1.0,0.2000000000000004,0.2226483073808203,-1.0,-0.995373048004627,-0.31736632215360794,0.25,1.0,0.0,0.4013743477037889
-1.0,-1.0,0.2000000000000004,0.2226483073808203,-1.0,-0.9930595720069404,-0.016046115979360204,0.25,1.0,0.0,0.40877071157180966
-1.0,-1.0,0.2000000000000004,0.2226483073808203,-1.0,-0.9907460960092539,0.263732190579827,0.25,1.0,0.0,0.41572232088153604
-1.0,-1.0,0.2000000000000004,0.2226483073808203,-1.0,-0.9884326200115674,0.5248442859637645,0.25,1.0,0.0,0.42228696016893075
-1.0,-1.0,0.2000000000000004,0.2226483073808203,-1.0,-0.9861191440138809,0.7696258868568887,0.25,1.0,0.0,0.4285116449403765
-1.0,-1.0,0.2000000000000004,0.2226483073808203,-1.0,-0.9838056680161943,1.0,0.25,1.0,0.0,0.4344351699504183
-1.0,-1.0,0.2000000000000004,-0.4421411414235201,-0.6000000000000001,-0.7619433198380567,-0.9999999999999993,0.25,1.0,0.0,0.42095362990343216
-1.0,-1.0,0.2000000000000004,-0.4421411414235201,-0.6000000000000001,-0.7369577790630422,-0.6438245304334964,0.25,1.0,0.0,0.41748179259080936
-1.0,-1.0,0.2000000000000004,-0.4421411414235201,-0.6000000000000001,-0.7119722382880278,-0.31736632215360744,0.25,1.0,0.0,0.4147326188349175
-1.0,-1.0,0.2000000000000004,-0.4421411414235201,-0.6000000000000001,-0.6869866975130132,-0.016046115979360648,0.25,1.0,0.0,0.4128623121878663
-1.0,-1.0,0.2000000000000004,-0.4421411414235201,-0.6000000000000001,-0.6620011567379989,0.26373219057982783,0.25,1.0,0.0,0.4119999967205975
-1.0,-1.0,0.2000000000000004,-0.4421411414235201,-0.6000000000000001,-0.6370156159629844,0.5248442859637645,0.25,1.0,0.0,0.41224423218588707
-1.0,-1.0,0.2000000000000004,-0.4421411414235201,-0.6000000000000001,-0.6120300751879699,0.7696258868568887,0.25,1.0,0.0,0.41365986891784634
-1.0,-1.0,0.2000000000000004,-0.4421411414235201,-0.6000000000000001,-0.5870445344129555,1.0,0.25,1.0,0.0,0.41627656872788343
-1.0,-1.0,0.2000000000000004,-0.5521584632650884,-0.19999999999999996,-0.5238866396761133,-0.9999999999999989,0.25,1.0,0.0,0.45806135209961657
-1.0,-1.0,0.2000000000000004,-0.5521584632650884,-0.19999999999999996,-0.47622903412377093,-0.6438245304334964,0.25,1.0,0.0,0.441390772229546
-1.0,-1.0,0.2000000000000004,-0.5521584632650884,-0.19999999999999996,-0.4285714285714286,-0.31736632215360794,0.25,1.0,0.0,0.4271603926338304
-1.0,-1.0,0.2000000000000004,-0.5521584632650884,-0.19999999999999996,-0.38091382301908605,-0.016046115979360204,0.25,1.0,0.0,0.4162471550583747
-1.0,-1.0,0.2000000000000004,-0.5521584632650884,-0.19999999999999996,-0.33325621746674383,0.263732190579827,0.25,1.0,0.0,0.409474361021249
-1.0,-1.0,0.2000000000000004,-0.5521584632650884,-0.19999999999999996,-0.2855986119144014,0.5248442859637645,0.25,1.0,0.0,0.40744485808056913
-1.0,-1.0,0.2000000000000004,-0.5521584632650884,-0.19999999999999996,-0.23794100636205895,0.7696258868568887,0.25,1.0,0.0,0.4103853552910816
-1.0,-1.0,0.2000000000000004,-0.5521584632650884,-0.19999999999999996,-0.19028340080971662,1.0,0.25,1.0,0.0,0.4180956909690465
-1.0,-1.0,0.2000000000000004,-0.6102855344893479,0.20000000000000018,-0.2858299595141699,-0.9999999999999993,0.25,1.0,0.0,0.5006138299917254
-1.0,-1.0,0.2000000000000004,-0.6102855344893479,0.20000000000000018,-0.2155002891844996,-0.643824530433497,0.25,1.0,0.0,0.46908343130933533
-1.0,-1.0,0.2000000000000004,-0.6102855344893479,0.20000000000000018,-0.1451706188548293,-0.31736632215360794,0.25,1.0,0.0,0.4413685256392719
-1.0,-1.0,0.2000000000000004,-0.6102855344893479,0.20000000000000018,-0.07484094852515888,-0.016046115979360648,0.25,1.0,0.0,0.4198740327716855
-1.0,-1.0,0.2000000000000004,-0.6102855344893479,0.20000000000000018,-0.004511278195488577,0.263732190579827,0.25,1.0,0.0,0.4072394273367949
-1.0,-1.0,0.2000000000000004,-0.6102855344893479,0.20000000000000018,0.06581839213418172,0.5248442859637645,0.25,1.0,0.0,0.40537236119892395
-1.0,-1.0,0.2000000000000004,-0.6102855344893479,0.20000000000000018,0.13614806246385203,0.7696258868568887,0.25,1.0,0.0,0.4144215606821452
-1.0,-1.0,0.2000000000000004,-0.6102855344893479,0.20000000000000018,0.20647773279352233,1.0,0.25,1.0,0.0,0.43277839738598983
-1.0,-1.0,0.2000000000000004,-0.6486517701162222,0.6000000000000001,-0.04777327935222675,-1.0,0.25,1.0,0.0,0.5461867892226813
-1.0,-1.0,0.2000000000000004,-0.6486517701162222,0.6000000000000001,0.045228455754771524,-0.643824530433497,0.25,1.0,0.0,0.49938088725959523
-1.0,-1.0,0.2000000000000004,-0.6486517701162222,0.6000000000000001,0.1382301908617698,-0.31736632215360794,0.25,1.0,0.0,0.4570571537903187
-1.0,-1.0,0.2000000000000004,-0.6486517701162222,0.6000000000000001,0.23123192596876807,-0.016046115979360648,0.25,1.0,0.0,0.42373605873889875
-1.0,-1.0,0.2000000000000004,-0.6486517701162222,0.6000000000000001,0.32423366107576634,0.263732190579827,0.25,1.0,0.0,0.4052978259472285
-1.0,-1.0,0.2000000000000004,-0.6486517701162222,0.6000000000000001,0.4172353961827646,0.5248442859637645,0.25,1.0,0.0,0.4059999093854332
-1.0,-1.0,0.2000000000000004,-0.6486517701162222,0.6000000000000001,0.5102371312897631,0.7696258868568887,0.25,1.0,0.0,0.42490691742076186
