beta,rho,volvol,v_atm_n,alpha,F,K,log_moneyness,volatility_scaled,dV_dbeta_scaled,dV_drho_scaled,dV_dvolvol_scaled,dV_dvatm_scaled,dV_dF_scaled,dV_dK_scaled,T,Shift
-0.9353782187613929,0.6867470297333058,0.855807542494686,0.09061188584690516,-0.9931877735826862,0.16093450855655345,-0.5039478086954488,-0.9999999999999993,0.04061769022192769,0.9443291067667681,-0.9982474203038607,0.7714679646918514,-0.5700145593351782,0.9107011720017083,0.9435111521601294,1.0,0.0
-0.9353782187613929,0.6867470297333058,0.855807542494686,0.09061188584690516,-0.9931877735826862,0.16093450855655345,-0.49359975511231624,-0.9592504542892392,0.0404009785226616,0.9443291067667681,-0.9982474203038607,0.7714679646918514,-0.5700145593351782,0.9107011720017083,0.9444771571034901,1.0,0.0
-0.9353782187613929,0.6867470297333058,0.855807542494686,0.09061188584690516,-0.9931877735826862,0.16093450855655345,-0.48325170152918373,-0.9191167943565356,0.04019065742275291,0.9443291067667681,-0.9982474203038607,0.7714679646918514,-0.5700145593351782,0.9107011720017083,0.9454106446654573,1.0,0.0
-0.9353782187613929,0.6867470297333058,0.855807542494686,0.09061188584690516,-0.9931877735826862,0.16093450855655345,-0.4729036479460512,-0.8795806801394326,0.0399865748991332,0.9443291067667681,-0.9982474203038607,0.7714679646918514,-0.5700145593351782,0.9107011720017083,0.9463134088681512,1.0,0.0
-0.9353782187613929,0.6867470297333058,0.855807542494686,0.09061188584690516,-0.9931877735826862,0.16093450855655345,-0.4625555943629188,-0.8406245787768108,0.03978849447147385,0.9443291067667681,-0.9982474203038607,0.7714679646918514,-0.5700145593351782,0.9107011720017083,0.9471865512528409,1.0,0.0
-0.9353782187613929,0.6867470297333058,0.855807542494686,0.09061188584690516,-0.9931877735826862,0.16093450855655345,-0.408351504165558,-0.6454127345588508,0.03884158782219548,0.9443291067667681,-0.9982474203038607,0.7714679646918514,-0.5700145593351782,0.9107011720017083,0.9513183624291143,1.0,0.0
-0.9353782187613929,0.6867470297333058,0.855807542494686,0.09061188584690516,-0.9931877735826862,0.16093450855655345,-0.39652515721340664,-0.6046631888480911,0.038653664787699785,0.9443291067667681,-0.9982474203038607,0.7714679646918514,-0.5700145593351782,0.9107011720017083,0.952130250938026,1.0,0.0
-0.9353782187613929,0.6867470297333058,0.855807542494686,0.09061188584690516,-0.9931877735826862,0.16093450855655345,-0.3846988102612552,-0.5645295289153872,0.03847190994844288,0.9443291067667681,-0.9982474203038607,0.7714679646918514,-0.5700145593351782,0.9107011720017083,0.9529131633600224,1.0,0.0
-0.9353782187613929,0.6867470297333058,0.855807542494686,0.09061188584690516,-0.9931877735826862,0.16093450855655345,-0.37287246330910384,-0.5249934146982844,0.03829610371554817,0.9443291067667681,-0.9982474203038607,0.7714679646918514,-0.5700145593351782,0.9107011720017083,0.9536681690959115,1.0,0.0
-0.9353782187613929,0.6867470297333058,0.855807542494686,0.09061188584690516,-0.9931877735826862,0.16093450855655345,-0.3610461163569524,-0.48603731333566247,0.03812598990199296,0.9443291067667681,-0.9982474203038607,0.7714679646918514,-0.5700145593351782,0.9107011720017083,0.954395538417755,1.0,0.0
