beta,rho,volvol,v_atm_n,alpha,F,K,log_moneyness,volatility,dV_dK,dV_dF,dV_dalpha,dV_dbeta,dV_drho,dV_dvolvol,volatility_scaled,dV_dbeta_scaled,dV_drho_scaled,dV_dvolvol_scaled,dV_dalpha_scaled,dV_dF_scaled,dV_dK_scaled
0.4329805365698674,0.7514871499067761,1.7045817650552646,0.9239099582963837,-0.014476720171278067,1.5328898114140384,1.2350932367719496,0.059020966529203966,0.53284615,1.5190539,-3.981958,2.325451,-1.3599257,0.058285892,0.10102013,-0.40275256564119644,0.2725413926881086,-0.20963608513394988,-0.010308845137704916,-0.3849220223065249,0.14735563226731463,0.19988982875492914
-1.3329402945031132,-1.4411893599425607,1.6811299895389462,-0.6373350547607297,0.18873385266299966,-0.9864355044936581,-0.9617174655752772,-0.12371070254573244,3.1295645,-64.87089,-41.860035,15.245001,-16.657307,0.90626097,-0.3716029,1.2086234015102713,-0.7739780377472865,3.3181916586644364,-1.7898870087949128,1.0356975399613586,-0.27704531834153007,-0.47208294651651833
1.0792108668933638,-1.5089406164511978,1.693996393784015,-1.1255544771106603,-0.11428875610294521,-0.9374803974833474,0.22503301628666597,1.085123362635,0.29415548,2.1096826,-5.7670116,0.8681222,-0.63366675,0.38015538,0.11671112,-0.5508704426613522,0.32222598169045036,1.1294364172404436,0.04877279371126022,-0.5451683003840415,0.12735518597412662,0.2058679390436165
-0.5568435686588009,-1.6042106714666526,0.851300503937987,0.9569740728244904,1.6141299509943379,0.9820105739762979,0.22368712859206463,-0.3055818975414551,1.5783279,-11.324289,-2.7726924,3.8452587,-4.8604393,0.31088585,-0.19497967,0.24601404628090862,0.03306540480099523,0.8412546344571122,-1.1248435738556448,-0.2178056328420808,0.16090472215850882,0.06989458752870722
1.108418197864198,0.603908858876206,0.04923919168659164,1.46468464463277,0.7490673864439489,-0.4345729408120629,-0.6665116225601353,-0.2564622959000978,0.5039534,0.6755892,-2.9016972,1.7110746,-1.7737862,0.00096303225,0.039493274,-0.42068176576985716,0.2442285039494519,-0.4481161775641118,-0.2419773049164877,-0.4524781780887091,0.15945930137452594,0.19135261239342385
-0.0566307812074127,1.1105265644616338,0.3533311618770556,0.9027025616201461,-1.6731376812944911,-0.07722659518544475,0.13993722578741088,0.2482616030675711,0.234891,2.660135,-5.3879237,3.45931,-0.60179996,0.04222846,0.09851609,-0.5876466139306502,0.3244060420724586,-0.27643976318232283,-0.019737363474875647,-0.260244129016627,0.13160263668616543,0.21143940070112258
-0.054617704040426894,-1.5852742906647588,-1.3997489937369891,0.283587637208297,1.3033612352096207,0.4493982411794234,-0.2309647033234241,-0.40095002982705147,1.2040771,-7.123623,-3.6584704,3.33599,-3.8140695,0.031075418,-0.101189554,0.013775249644680979,0.10464931224538891,-0.3228397247096693,-0.771693532901279,-0.27380426109699174,0.15098011523539598,0.11241206870417196
-1.0107539684440217,0.5487472340109663,0.471799766317486,-0.1201567961421669,-0.8444154726755857,0.4531492743823191,-0.5478177223186018,-0.7299352948280602,0.9778712,-7.8709245,-7.3231006,7.356507,-3.3148499,-0.076123476,0.07682957,-0.1265952879948239,0.13880175972698405,-0.7688189075527083,-0.10139410677347307,0.1682873830106269,0.10992014958534778,0.10484817824998051
0.8569826004617047,-0.2836499672213319,-0.4352360017986278,0.5430669748341912,-1.676418873742649,-1.4746462373657843,1.0914126455659265,2.40984637964414,0.23550098,1.052456,-6.578617,1.7055933,-0.315537,0.09349573,0.40093994,-0.5872680949771245,0.3439897697692998,-0.06315271955672866,1.118985985721931,-0.4530808958309415,0.1182616381871238,0.195167109207657
-0.8668920636096671,-1.0853724763441794,-1.625400451282161,-1.0910898340486768,-1.6715709429077874,0.5598220211180276,-1.5306070592141565,-2.749369593763319,0.5233835,-14.979291,-2.3844626,8.316213,-1.7263135,-0.07290782,0.47437474,-0.4086245489448789,0.24747619072609192,-0.7554408251707735,1.3954916958489523,0.2738156032370172,0.16525460233259162,0.032900101718293835
-0.6928998722892115,0.7020030269438652,-0.016132023692559453,1.410174060022929,-1.7267118240041994,1.3368743691574978,0.5977855834060382,-0.21431724904613575,0.22081278,0.070797324,-1.9434111,4.4397197,-0.62256944,-0.009940088,0.009975511,-0.5963827579057067,0.3229851672211506,-0.4934763905112192,-0.3531212042622489,-0.15243935262293007,0.17019631771765345,0.18523114803446172
-1.287129154127485,-1.5701263567971386,0.34822266362581705,0.18659121004362833,-0.9247071852458543,1.3914791591511653,1.5644308155733933,0.2755542322536258,0.67114836,-4.9608994,-0.8108194,5.4378114,-1.9323249,0.13559514,-0.109755486,-0.3169300668715723,0.2333826064214895,0.1119933082555925,-0.8039470300247106,-0.04269028288310109,0.1828863229185956,0.13430230228873533
-1.636958202697651,-1.5543021155519843,-0.042154746167261926,0.4708201638049168,-0.6407011994869309,1.4738033430008166,1.0712494757650266,-0.0006572430082643189,1.1238818,-8.205981,-4.054577,7.333897,-3.3325958,0.09859729,-0.07707183,-0.03598940007118138,0.13758773303860156,-0.04192871737602765,-0.6808825223004807,0.16580121218402102,0.1465419802798533,0.10145686876918222
0.4658443364670138,-1.4992638799344067,-0.9920567828688965,0.4626189706341618,-1.3657439201381336,1.5852288660454998,-0.13050235261263088,-0.8575071538756333,0.23570003,-2.6925225,0.9199196,2.2345204,-0.56838834,-0.0340956,0.15691808,-0.5871445758491214,0.3266917868575692,-0.5939704823897718,0.2001649678146652,-0.3949206514514066,0.20227820695895493,0.15726191682238522
-0.5269515384311283,-0.9509787797383814,-0.5077944004723073,-1.0231266370990648,-0.23691135278011963,0.48769906919482175,0.15258403177745897,-0.10035910656091095,0.88152266,-5.849571,-2.9283776,4.3910313,-2.716271,0.05200559,-0.01448283,-0.18638372127875394,0.17975154304046173,-0.2357640035242973,-0.44521474774209546,-0.15779307573987486,0.1591603636242641,0.12530751955090988
0.19749699934010287,0.8173210109784457,-1.2870223956464815,-1.0269825238852162,1.0350677418713463,-1.5708486059762248,0.6982473973090064,2.383279176967719,1.1742728,-2.5459747,-17.185062,3.4192414,-3.9448285,0.17146087,0.5047658,-0.00471960665645477,0.09570387043932621,0.2612053790206982,1.5099238401022614,-0.2646500283701406,-0.0005771650757880493,0.158745215739225
-1.5342487563270857,-0.7707533876894163,-0.22518586127233234,-0.858930753205151,-0.43270006213054363,0.01754871016074501,0.5519131029930959,0.4699119041277402,1.5667557,-11.6385,-12.867391,9.455009,-5.4440784,0.17519224,-0.038341817,0.23883299602681773,-0.00686232181662047,0.27672898454861566,-0.5350515300761708,0.3990363636375279,0.04779972789098639,0.06671426796089965
1.258453082591797,-0.5919541788598317,0.14308992034757395,-1.6059845678204014,-0.096031078704201,-1.0463344665432857,-0.9649193776645373,-0.055364908682186305,0.32690766,-3.039995,1.5720209,1.5191916,-1.2439402,0.03163135,0.009755151,-0.530546299411924,0.28047615465934644,-0.32052688275930097,-0.3539509307445651,-0.4735774225257559,0.20958460774622992,0.1537449374963113
-0.2226795553857494,-0.02837833295790195,-0.7244208390646445,-0.8424483381361805,-1.215846890054362,0.7510608990217977,2.0271868420940544,0.7745411637652969,0.3326348,-0.21938878,-2.069682,2.989784,-0.8050255,0.08477521,0.10769874,-0.5269923615131481,0.3105030431081375,-0.09943266833648358,0.014838275855494819,-0.3118726935249412,0.1687815286301759,0.1822939989694798
