beta,rho,volvol,v_atm_n,alpha,F,K,log_moneyness,T,Shift,volatility_scaled,dV_dbeta_scaled,dV_drho_scaled,dV_dvolvol_scaled,dV_dvatm_scaled,dV_dF_scaled,dV_dK_scaled
0.9018208490494262,0.4685720870793302,0.19764646114374074,-0.6880071685154108,-0.9227784447246544,-0.25660697980632785,-0.6334951666820818,-0.9999999999999996,1.0,0.0,0.093226192936354,-0.504245169279873,-0.4819605640804125,-0.6292756297759895,-0.8191899411076577,0.9295698916902367,-0.9078471670763771
0.9018208490494262,0.4685720870793302,0.19764646114374074,-0.6880071685154108,-0.9227784447246544,-0.25660697980632785,-0.5771466146267917,-0.6147098441152081,1.0,0.0,0.07410941155493325,-0.42585261296065313,-0.41428850219580227,-0.8232204217207858,-0.47016085540163166,0.8891369831940612,-0.8661707462619692
0.9018208490494262,0.4685720870793302,0.19764646114374074,-0.6880071685154108,-0.9227784447246544,-0.25660697980632785,-0.5207980625715015,-0.2748598412305834,1.0,0.0,0.07180016404273788,-0.3325214504002312,-0.26885079411332713,-0.9610392575659168,-0.07849145683558367,0.7928735563412809,-0.760320826798916
0.9018208490494262,0.4685720870793302,0.19764646114374074,-0.6880071685154108,-0.9227784447246544,-0.25660697980632785,-0.4644495105162114,0.029146345659516293,1.0,0.0,0.096093889315678,-0.22886108499456814,-0.09790528172388516,-0.8971967156552881,0.036039032229713275,0.6963144339301228,-0.6542722444012768
0.9018208490494262,0.4685720870793302,0.19764646114374074,-0.6880071685154108,-0.9227784447246544,-0.25660697980632785,-0.4081009584609212,0.30415339315938617,1.0,0.0,0.1374649373237384,-0.13411364508764392,0.014551083037890766,-0.7216812972684332,0.026963759438620283,0.6539719173660498,-0.6100797023210429
0.9018208490494262,0.4685720870793302,0.19764646114374074,-0.6880071685154108,-0.9227784447246544,-0.25660697980632785,-0.3517524064056311,0.555215157327104,1.0,0.0,0.1847598914695363,-0.04403375877542437,0.08639653798286734,-0.5371947345722378,0.06591231287997568,0.6391902754379599,-0.5972479458874341
0.9018208490494262,0.4685720870793302,0.19764646114374074,-0.6880071685154108,-0.9227784447246544,-0.25660697980632785,-0.295403854350341,0.7861695921669755,1.0,0.0,0.23360590147162782,0.046677094031770616,0.14012769608010772,-0.3625542478507676,0.1546511822098373,0.6334257403858079,-0.594662134711633
0.9018208490494262,0.4685720870793302,0.19764646114374074,-0.6880071685154108,-0.9227784447246544,-0.25660697980632785,-0.2390553022950508,0.9999999999999993,1.0,0.0,0.2825959770392487,0.13986100340614094,0.18520713723256033,-0.1972649030022573,0.27374278503800387,0.6305808034640226,-0.5953913432302199
-0.8865812396162581,0.7377811067838728,0.20260277328188803,0.41689730611451514,-0.93133735190681,-0.6993190968147127,-0.8517594310004487,-0.9999999999999996,1.0,0.0,0.32114394913846317,-0.8474948326316983,-0.39926925590456597,-0.9568207569118655,-0.17279677735566779,0.7785488110696428,-0.723545452563363
-0.8865812396162581,0.7377811067838728,0.20260277328188803,0.41689730611451514,-0.93133735190681,-0.6993190968147127,-0.8265914881334967,-0.6147098441152078,1.0,0.0,0.33095818265731414,-0.6059385575752624,-0.31768432473642183,-0.9752820861574882,-0.08724391354207306,0.7502314267825552,-0.701406358280811
-0.8865812396162581,0.7377811067838728,0.20260277328188803,0.41689730611451514,-0.93133735190681,-0.6993190968147127,-0.8014235452665447,-0.2748598412305834,1.0,0.0,0.34302582864025377,-0.37298804451380185,-0.2350783612876774,-0.9697714820854514,-0.02280432196202975,0.7235879250405395,-0.6799299272218322
-0.8865812396162581,0.7377811067838728,0.20260277328188803,0.41689730611451514,-0.93133735190681,-0.6993190968147127,-0.7762556023995926,0.029146345659516293,1.0,0.0,0.35719445210340317,-0.15078931189067044,-0.15505008055619318,-0.942275248746042,0.022498300730144916,0.6997778683909617,-0.6606389574161908
-0.8865812396162581,0.7377811067838728,0.20260277328188803,0.41689730611451514,-0.93133735190681,-0.6993190968147127,-0.7510876595326406,0.30415339315938617,1.0,0.0,0.37319340195020173,0.05957668900329077,-0.08011741131392056,-0.8965912057036084,0.05252939273341939,0.6793848042854604,-0.6443222155535169
-0.8865812396162581,0.7377811067838728,0.20260277328188803,0.41689730611451514,-0.93133735190681,-0.6993190968147127,-0.7259197166656886,0.555215157327104,1.0,0.0,0.39070404711751977,0.2582102079395022,-0.011586914373179186,-0.8371219385019999,0.07173090067700105,0.6624756337446122,-0.6311583488160245
-0.8865812396162581,0.7377811067838728,0.20260277328188803,0.41689730611451514,-0.93133735190681,-0.6993190968147127,-0.7007517737987365,0.7861695921669759,1.0,0.0,0.4094115551420274,0.44608720629675813,0.05021884155141104,-0.7679685777527288,0.08412951488550613,0.6487751427482932,-0.6209322179851494
-0.8865812396162581,0.7377811067838728,0.20260277328188803,0.41689730611451514,-0.93133735190681,-0.6993190968147127,-0.6755838309317845,0.9999999999999993,1.0,0.0,0.4290343993777567,0.6246406303975945,0.10560942928173384,-0.6924869349987599,0.09287601508699117,0.637844687547158,-0.6132390727004497
0.9402794796315361,0.6701017608114714,-0.5817949919577972,-0.6363572771067467,-0.08460335319112067,-0.9736218496539326,-0.9869951434393319,-0.9999999999999996,1.0,0.0,0.055939335306716256,-0.5538453044229299,-0.24373461322149248,-0.9687012617725422,-0.4003476370702552,0.4216501931065414,-0.18184392193582677
